label	category	n	QUAL	DP	GQ	QQ
ZY_GeneMind_NA12878.grch38.deepvariant.50x.s44	discordant	14	18.40	19.50	11.00	
ZY_GeneMind_NA12878.grch38.deepvariant.50x.s44	cpu_only	103	22.10	99.00	19.00	
ZY_GeneMind_NA12878.grch38.deepvariant.50x.s44	gpu_only	87	21.50	91.00	18.00	
ZY_GeneMind_NA12878.grch38.deepvariant.5x.s42	concordant	46680	24.70	9.00	22.00	
ZY_GeneMind_NA12878.grch38.deepvariant.5x.s42	discordant	77	21.20	4.00	14.00	
ZY_GeneMind_NA12878.grch38.deepvariant.5x.s42	cpu_only	107	20.60	7.00	18.00	
ZY_GeneMind_NA12878.grch38.deepvariant.5x.s42	gpu_only	137	24.20	6.00	21.00	
ZY_GeneMind_NA12878.grch38.deepvariant.5x.s43	concordant	46604	24.70	9.00	22.00	
ZY_GeneMind_NA12878.grch38.deepvariant.5x.s43	discordant	63	22.10	4.00	16.00	
ZY_GeneMind_NA12878.grch38.deepvariant.5x.s43	cpu_only	113	20.70	7.00	18.00	
ZY_GeneMind_NA12878.grch38.deepvariant.5x.s43	gpu_only	137	23.90	6.00	21.00	
ZY_GeneMind_NA12878.grch38.deepvariant.5x.s44	concordant	46493	24.70	9.00	22.00	
ZY_GeneMind_NA12878.grch38.deepvariant.5x.s44	discordant	66	21.65	5.00	14.00	
ZY_GeneMind_NA12878.grch38.deepvariant.5x.s44	cpu_only	102	21.55	8.00	19.00	
ZY_GeneMind_NA12878.grch38.deepvariant.5x.s44	gpu_only	117	22.10	7.00	19.00	
ZY_GeneMind_NA12878.grch38.deepvariant.full.s0	concordant	57544	24.80	520.00	22.00	
ZY_GeneMind_NA12878.grch38.deepvariant.full.s0	discordant	24	22.50	230.00	18.00	
ZY_GeneMind_NA12878.grch38.deepvariant.full.s0	cpu_only	152	19.40	319.50	17.00	
ZY_GeneMind_NA12878.grch38.deepvariant.full.s0	gpu_only	144	21.25	230.50	19.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.100x.s42	concordant	61186	2476.62	149.00	99.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.100x.s42	discordant	9	559.97	28.00	73.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.100x.s42	cpu_only	120	165.62	41.00	99.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.100x.s42	gpu_only	98	494.04	61.00	99.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.100x.s43	concordant	61064	2473.64	149.00	99.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.100x.s43	discordant	11	4885.01	123.00	61.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.100x.s43	cpu_only	117	151.64	51.00	99.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.100x.s43	gpu_only	110	209.64	43.00	98.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.100x.s44	concordant	61118	2479.64	149.00	99.00	
