pair,concordant_n,concordant_DP,concordant_GQ,concordant_QUAL,discordant_n,discordant_DP,discordant_GQ,discordant_QUAL,cpu_only_n,cpu_only_DP,cpu_only_GQ,cpu_only_QUAL,gpu_only_n,gpu_only_DP,gpu_only_GQ,gpu_only_QUAL
ZY_GeneMind_NA12878.grch38.gatk4_hc.5x.s44,46992.0,9.0,51.0,165.96,11.0,6.0,8.0,89.84,124.0,7.5,39.0,37.64,122.0,5.0,45.5,67.64
ZY_GeneMind_NA12878.grch38.gatk4_hc.full.s0,62051.0,722.0,99.0,11931.1,16.0,131.0,43.5,3146.53,198.0,414.0,99.0,471.12,165.0,239.0,99.0,1258.02
ZY_Illumina_NA12878.grch38.deepvariant.100x.s42,56472.0,132.0,22.0,24.8,11.0,32.0,11.0,20.0,88.0,120.0,14.0,16.3,89.0,122.0,17.0,18.9
ZY_Illumina_NA12878.grch38.deepvariant.100x.s43,56543.0,132.0,22.0,24.8,14.0,48.5,15.5,22.05,68.0,139.0,16.5,18.95,94.0,122.0,14.0,15.2
ZY_Illumina_NA12878.grch38.deepvariant.100x.s44,56428.0,132.0,22.0,24.8,24.0,45.5,12.0,20.95,89.0,123.0,17.0,19.8,83.0,151.0,18.0,19.4
ZY_Illumina_NA12878.grch38.deepvariant.10x.s42,49824.0,16.0,22.0,24.7,24.0,4.0,12.5,22.0,43.0,16.0,18.0,21.9,64.0,9.0,21.0,23.55
ZY_Illumina_NA12878.grch38.deepvariant.10x.s43,49974.0,16.0,22.0,24.7,10.0,8.0,9.0,19.55,50.0,11.5,21.0,24.3,57.0,9.0,21.0,24.5
ZY_Illumina_NA12878.grch38.deepvariant.10x.s44,50079.0,16.0,22.0,24.7,16.0,5.0,11.5,22.1,48.0,10.5,21.0,24.3,75.0,10.0,21.0,24.4
ZY_Illumina_NA12878.grch38.deepvariant.15x.s42,52426.0,23.0,22.0,24.8,16.0,5.0,16.0,22.0,45.0,14.0,21.0,24.0,70.0,14.0,21.0,23.2
ZY_Illumina_NA12878.grch38.deepvariant.15x.s43,52480.0,23.0,22.0,24.8,17.0,5.0,12.0,19.9,52.0,25.0,13.0,14.2,67.0,15.0,21.0,24.2
ZY_Illumina_NA12878.grch38.deepvariant.15x.s44,52476.0,23.0,22.0,24.8,19.0,11.0,14.0,20.9,58.0,15.5,16.5,20.75,70.0,11.5,21.0,24.3
ZY_Illumina_NA12878.grch38.deepvariant.200x.s42,56870.0,229.0,22.0,24.8,23.0,103.0,16.0,20.8,115.0,166.0,13.0,15.5,90.0,232.0,16.0,17.3
ZY_Illumina_NA12878.grch38.deepvariant.200x.s43,56882.0,229.0,22.0,24.8,19.0,115.0,7.0,15.2,124.0,174.5,13.0,15.35,117.0,193.0,16.0,18.1
ZY_Illumina_NA12878.grch38.deepvariant.200x.s44,56865.0,229.0,22.0,24.8,25.0,147.0,14.0,20.3,117.0,176.0,15.0,17.0,108.0,211.5,18.0,21.0
ZY_Illumina_NA12878.grch38.deepvariant.30x.s1,54871.0,43.0,22.0,24.8,15.0,6.0,8.0,18.9,74.0,31.0,20.0,22.35,52.0,31.5,16.0,16.9
ZY_Illumina_NA12878.grch38.deepvariant.30x.s42,54877.0,43.0,22.0,24.8,17.0,20.0,9.0,15.7,65.0,25.0,13.0,14.1,65.0,21.0,19.0,23.8
ZY_Illumina_NA12878.grch38.deepvariant.30x.s43,54801.0,43.0,22.0,24.8,11.0,9.0,10.0,19.4,56.0,41.5,17.0,18.9,60.0,23.0,16.5,18.7
ZY_Illumina_NA12878.grch38.deepvariant.30x.s44,54910.0,43.0,22.0,24.8,16.0,11.0,15.0,21.75,48.0,30.5,18.0,20.0,50.0,17.0,17.0,21.6
ZY_Illumina_NA12878.grch38.deepvariant.50x.s42,55682.0,70.0,22.0,24.8,16.0,41.0,7.5,19.55,76.0,48.5,13.0,13.75,91.0,38.0,14.0,16.6
ZY_Illumina_NA12878.grch38.deepvariant.50x.s43,55791.0,70.0,22.0,24.8,15.0,33.0,20.0,23.5,79.0,94.0,16.0,17.1,76.0,57.0,14.0,15.45
ZY_Illumina_NA12878.grch38.deepvariant.50x.s44,55782.0,70.0,22.0,24.8,14.0,24.5,19.5,24.1,68.0,40.0,18.0,20.9,57.0,66.0,18.0,20.7
ZY_Illumina_NA12878.grch38.deepvariant.5x.s42,42774.0,9.0,22.0,24.7,16.0,5.0,10.0,19.9,74.0,7.0,18.0,19.95,79.0,6.0,21.0,23.8
ZY_Illumina_NA12878.grch38.deepvariant.5x.s43,43019.0,9.0,22.0,24.7,26.0,5.5,10.5,20.05,86.0,9.0,21.0,24.5,95.0,9.0,22.0,24.6
ZY_Illumina_NA12878.grch38.deepvariant.5x.s44,42969.0,9.0,22.0,24.7,23.0,5.0,7.0,19.2,55.0,10.0,21.0,24.4,63.0,6.0,21.0,24.4
